"date","coin_name","symbol","open_price","close_price","high_price","low_price","volume","market_cap"
2018-02-26,Binance Coin,BNB,9.36926,9.90232,10.065,9.13015,53540300,980468288
2018-02-27,Binance Coin,BNB,9.96553,10.6599,11.0962,9.81859,97184400,1055479360
2018-02-28,Binance Coin,BNB,10.6949,10.4382,11.1828,10.3926,69036400,1033527936
2018-03-01,Binance Coin,BNB,10.4482,10.5097,10.6714,10.3296,72474200,1040607424
2018-03-02,Binance Coin,BNB,10.4569,10.2248,10.5404,10.142,46449100,1012398336
2018-03-03,Binance Coin,BNB,10.2857,10.2179,10.4455,10.1251,40001900,1011715136
2018-03-04,Binance Coin,BNB,10.2072,10.3481,10.3898,9.90116,37886900,1024606784
2018-03-05,Binance Coin,BNB,10.4038,10.1105,10.4355,10.101,38605100,1001081024
2018-03-06,Binance Coin,BNB,10.1548,9.38438,10.1548,9.15128,38182600,929185024
2018-03-07,Binance Coin,BNB,9.39529,9.03488,10.1268,8.23691,79740800,894579584
2018-03-08,Binance Coin,BNB,9.03568,8.31044,9.13749,8.11839,48535100,822849920
2018-03-09,Binance Coin,BNB,8.26137,8.31307,8.33242,7.17423,46893300,823110336
2018-03-10,Binance Coin,BNB,8.26712,7.67166,8.35451,7.63354,41645000,759601728
2018-03-11,Binance Coin,BNB,7.64875,8.27238,8.41945,7.38076,45451700,819081408
2018-03-12,Binance Coin,BNB,8.29911,8.03927,8.54762,7.74369,51188100,796000256
2018-03-13,Binance Coin,BNB,7.99896,10.1152,11.0016,7.90244,216111008,1001546432
2018-03-14,Binance Coin,BNB,10.13,8.95921,10.6719,8.55077,124112000,887087232
2018-03-15,Binance Coin,BNB,8.94456,9.09908,9.40132,8.41953,104531000,900936320
2018-03-16,Binance Coin,BNB,9.13251,9.11132,9.39258,8.63961,97626000,902148224
2018-03-17,Binance Coin,BNB,9.19896,8.98774,9.50244,8.66498,94679904,889912064
2018-03-18,Binance Coin,BNB,8.95742,8.95185,8.96295,7.85848,94840304,886358464
2018-03-19,Binance Coin,BNB,9.09,8.99274,9.26137,8.49606,97938896,890407168
2018-03-20,Binance Coin,BNB,8.98718,9.16093,9.24135,8.65527,96919504,907060352
2018-03-21,Binance Coin,BNB,9.16654,9.982,10.2933,9.08083,131761000,988357760
2018-03-22,Binance Coin,BNB,10.0285,10.0663,10.9059,9.57252,112305000,996704640
2018-03-23,Binance Coin,BNB,10.0498,11.7376,11.9768,9.53545,157246000,1162186752
2018-03-24,Binance Coin,BNB,11.7061,13.0891,14.8387,11.6027,255358000,1296004096
2018-03-25,Binance Coin,BNB,13.1352,12.7831,14.2326,12.5686,189518000,1265705856
2018-03-26,Binance Coin,BNB,12.9135,12.0614,12.9135,10.9571,132353000,1194247424
2018-03-27,Binance Coin,BNB,12.1189,11.5083,12.2337,10.8771,102579000,1139482880
2018-03-28,Binance Coin,BNB,11.5192,11.6404,12.246,11.3898,92931200,1152562560
2018-03-29,Binance Coin,BNB,11.6961,10.1961,11.7291,10.1727,81352096,1009556672
2018-03-30,Binance Coin,BNB,10.1692,10.3504,10.7481,9.74429,75551600,1024834496
2018-03-31,Binance Coin,BNB,10.3929,11.0559,11.39,10.2868,89256304,1094688896
2018-04-01,Binance Coin,BNB,11.1519,11.0662,11.2971,10.3783,87918096,1286574208
2018-04-02,Binance Coin,BNB,11.0651,12.6207,12.6488,11.0152,116071000,1467302784
2018-04-03,Binance Coin,BNB,12.6446,13.3607,13.9532,12.3336,141287008,1553336448
2018-04-04,Binance Coin,BNB,13.2926,12.1904,13.4408,12.0019,119600000,1417275520
2018-04-05,Binance Coin,BNB,12.1985,12.4536,12.6235,12.136,103864000,1447875456
2018-04-06,Binance Coin,BNB,12.4927,12.2584,12.6431,12.0389,81989696,1425181184
2018-04-07,Binance Coin,BNB,12.2668,12.4557,12.6306,12.2668,87924896,1448119680
2018-04-08,Binance Coin,BNB,12.5125,12.1176,12.5125,12.1159,79045000,1408811648
2018-04-09,Binance Coin,BNB,12.1208,11.8683,12.5545,11.6104,80643696,1379827584
2018-04-10,Binance Coin,BNB,11.9055,12.0362,12.4015,11.8491,87608200,1399347968
2018-04-11,Binance Coin,BNB,12.0416,12.2309,12.2309,11.7789,92759696,1421984000
2018-04-12,Binance Coin,BNB,12.4234,12.9525,12.9525,11.9088,133239000,1505878400
2018-04-13,Binance Coin,BNB,13.1525,13.5368,13.7621,12.7534,148215008,1573810048
2018-04-14,Binance Coin,BNB,13.4547,13.2444,13.8401,12.99,94980800,1539815168
2018-04-15,Binance Coin,BNB,13.2978,13.0588,13.5801,12.9225,115373000,1489242368
2018-04-16,Binance Coin,BNB,13.0473,12.21,13.0557,12.0845,75965504,1392444160
2018-04-17,Binance Coin,BNB,12.2264,11.7694,12.4589,11.6739,77537400,1342197504
2018-04-18,Binance Coin,BNB,11.7939,12.2757,12.3947,11.5253,90015104,1399936640
2018-04-19,Binance Coin,BNB,12.2629,12.3526,12.4339,12.0404,78661696,1408706432
2018-04-20,Binance Coin,BNB,12.353,12.5752,12.718,11.9293,86036096,1434092032
2018-04-21,Binance Coin,BNB,12.5694,13.3784,13.6732,12.4373,141582000,1525689984
2018-04-22,Binance Coin,BNB,13.3543,12.8759,13.3543,12.862,84873000,1468384256
2018-04-23,Binance Coin,BNB,12.8777,13.6253,13.8252,12.8455,132041000,1553846784
2018-04-24,Binance Coin,BNB,13.6482,15.266,15.6246,13.6482,165599008,1740954368
2018-04-25,Binance Coin,BNB,15.212,13.2909,15.9259,13.0464,144820992,1515711360
2018-04-26,Binance Coin,BNB,13.3472,14.6536,14.7088,13.2471,127788000,1671115392
2018-04-27,Binance Coin,BNB,14.6469,14.3291,14.7717,14.1838,101995000,1634109056
2018-04-28,Binance Coin,BNB,14.2831,15.2001,15.3286,14.2255,122360000,1733438976
2018-04-29,Binance Coin,BNB,15.1642,15.0562,15.3975,14.5557,105495000,1717028480
2018-04-30,Binance Coin,BNB,15.0627,14.3121,15.1567,14.1093,83765800,1632170368
2018-05-01,Binance Coin,BNB,14.3146,14.1643,14.3146,13.6148,75433904,1615315072
2018-05-02,Binance Coin,BNB,14.1702,14.4092,14.4092,13.9404,80730304,1643243776
2018-05-03,Binance Coin,BNB,14.4416,14.6526,14.7787,14.2114,104726000,1671001344
2018-05-04,Binance Coin,BNB,14.628,14.3295,14.6846,14.2445,79940496,1634154624
2018-05-05,Binance Coin,BNB,14.3193,14.3687,14.5032,14.2119,71502096,1638625024
2018-05-06,Binance Coin,BNB,14.3623,13.9426,14.7992,13.6763,74731600,1590032128
2018-05-07,Binance Coin,BNB,13.939,13.7025,13.97,12.9945,59800200,1562650752
2018-05-08,Binance Coin,BNB,13.7046,13.529,13.9228,13.1482,57865500,1542864640
2018-05-09,Binance Coin,BNB,13.5245,14.6602,14.8129,13.0799,99046304,1671868160
2018-05-10,Binance Coin,BNB,14.675,13.8184,15.0456,13.8184,68250000,1575868160
2018-05-11,Binance Coin,BNB,13.8805,12.9939,14.0941,12.5895,57027500,1481841152
2018-05-12,Binance Coin,BNB,12.9727,12.9439,13.1472,12.2539,44001000,1476139008
2018-05-13,Binance Coin,BNB,13.008,13.1187,13.554,12.743,70816496,1496073472
2018-05-14,Binance Coin,BNB,13.1583,12.8707,13.1653,12.3564,49317700,1467791232
2018-05-15,Binance Coin,BNB,12.8539,12.5678,13.2723,12.5144,45696200,1433248128
2018-05-16,Binance Coin,BNB,12.5581,12.2605,12.5674,11.9511,35233200,1398203264
